12, -121, 180
16, -136, 63
27, -173, 84
20, -159, 123
19, -116, 64
0, -153, 89
24, -131, 141
8, -185, 120
27, -209, 106
21, -193, 111
30, -140, 115
19, -176, 12
14, -201, 49
17, -157, 101
24, -160, 43
3, -175, 56
-9, -173, 109
4, -196, 108
-1, -131, 32
42, -114, 150
18, -134, 126
15, -97, 73
17, -113, 97
1, -122, 143
2, -96, 89
16, -100, 79
29, -130, 148
31, -171, 113
13, -124, 75
15, -131, 113
13, -130, 123
21, -158, 82
30, -132, 116
36, -116, 138
9, -116, 62
-7, -97, 47
24, -110, 145
3, -116, 105
21, -115, 75
36, -134, 138
9, -126, 135
19, -120, 71
30, -146, 130
20, -103, 147
13, -139, 50
30, -111, 126
4, -92, 129
-1, -131, 107
17, -122, 75
8, -101, 149
0, -121, 93
-3, -133, 54
24, -133, 106
31, -122, 142
22, -158, 72
-4, -148, 46
8, -68, 192
41, -268, 275
166, 152, 181
1805, -219, 213
804, -109, 134
37, -109, 97
387, -67, 76
562, -44, 166
73, -156, 124
5, 15, 29
369, 151, 161
4773, -78, 655
1695, -224, 563
189, -286, 337
642, -249, 168
522, -394, 148
436, -346, 139
265, -353, 186
248, -271, 168
677, -115, 198
938, -218, 155
741, -197, 121
1175, 2, 87
1756, 127, 184
1875, 95, 152
1515, -18, 49
962, 350, 120
286, 359, 213
195, 632, 221
449, 633, 160
440, 500, 211
553, 434, 163
611, 91, -14
724, -17, -21
781, 340, 32
738, 271, -11
448, 369, 199
198, 720, 245
192, 698, 44
683, 3, -20
1040, -102, 72
954, 23, -59
720, -117, -177
438, -328, -26
300, -232, 53
69, 105, 46
129, 563, -58
165, -41, -201
104, -631, -203
-327, -106, -124
-1317, 371, 106
-1751, 549, -264
-1942, 785, -484
-2383, 580, -311
-3173, -55, -300
-4151, 49, -538
-5079, 642, -689
-5945, 1192, -1143
-7112, 2271, -1594
-8855, 1104, -1575
-9607, 299, -972
-9965, 892, -761
-10582, 383, -1326
-10998, -445, -1821
-10420, -558, -2044
-10459, -1159, -2112
-11787, -1344, -2031
-13879, -1715, -1296
-14815, -3104, -847
-13512, -2818, -999
-11972, -911, -1924
-12364, -803, -1895
-11179, 657, -703
-9157, -308, -213
-8009, -1010, -488
-7256, 467, -163
-5562, 1107, 752
-3905, 658, 1366
-2198, 1283, 1369
-746, -928, 2055
1453, -794, 2042
3455, -1369, 1482
4595, -1654, 843
5613, -500, 811
7588, 1255, 1341
9482, 1848, 1710
10895, 1685, 2165
12097, 1568, 1383
13629, 2674, 453
14619, 4046, -238
14681, 3177, -6
14746, 479, 134
16327, -1247, 233
16428, 785, 1124
17443, 1377, 2161
19532, 828, 2609
22977, 58, 2823
24293, -3506, 1954
22065, -5215, 201
20570, -966, -268
19908, 1406, 1456
18006, 1663, 2757
15471, 1115, 3633
13871, 184, 3897
13012, -494, 3748
11532, -1684, 2727
10224, -1718, 2103
8684, -2387, 2269
6264, -873, 2660
2892, 1476, 3143
145, 2938, 3604
-1056, 3497, 3130
-3147, 2623, 2094
-5245, 2375, 1363
-6349, 3570, 784
-7483, 3437, 103
-9118, 3925, -676
-11698, 4807, -1471
-14184, 4246, -2480
-15098, 4416, -3451
-14544, 2740, -4513
-13673, 2021, -4599
-12682, 3233, -3880
-12543, 2748, -3713
-13333, -930, -4188
-14139, -3469, -4583
-14811, -4231, -4175
-14178, -3443, -3609
-13357, -1491, -3828
-12716, -3215, -4173
-11168, -4512, -3486
-10255, -4040, -2939
-10661, -3215, -2621
-11100, -1317, -2309
-10727, -799, -2271
-10038, -689, -2460
-9368, 95, -1441
-8947, 75, -1054
-9096, 1137, -1611
-8821, 1823, -2560
-7898, 18, -3034
-7337, -496, -2815
-7576, 143, -2457
-8396, 813, -1814
-8124, 662, -982
-6920, 223, -710
-6578, 839, -402
-6025, 1167, 123
-5017, 873, 286
-3857, 526, 54
-2253, -245, 9
-557, -847, 186
1418, -1073, 570
3125, -1270, 1452
3763, -1790, 2319
4547, -2155, 2621
5634, -2743, 2767
6576, -2825, 3034
7897, -2866, 3014
8960, -2833, 2407
9617, -2413, 1819
9548, -1682, 1784
9569, -997, 1833
9580, -1778, 2050
9924, -2371, 2074
9701, -2106, 1984
10159, -1366, 1389
11119, 188, 936
11306, 28, 1016
10790, -1030, 1124
9994, -1538, 1213
10448, 174, 866
11005, 1244, 609
10325, 1384, 583
9128, 785, 643
8660, 1277, 839
8097, 77, 875
7546, -591, 617
6753, -929, -256
4760, -1450, -752
2465, -1774, -525
201, -2400, -112
-861, -1752, 120
-449, -367, 11
-42, -1039, 186
917, -1274, 74
2075, -860, -1
2442, -946, 398
3344, -686, 371
4531, -110, 428
5627, 201, 506
5883, -299, 615
5149, -420, 755
4791, 313, 824
4562, 821, 934
3642, -488, 795
2891, -564, 704
3559, -666, 529
3747, -1211, 721
3788, -1584, 1264
4516, -1689, 1556
5274, -724, 446
6448, 816, 964
6813, -181, 2144
7248, 1247, 2766
7726, 1585, 2320
7835, 677, 2036
7402, -845, 1900
7817, -642, 1680
8198, -683, 1267
8109, -673, 1075
7023, -850, 1048
6298, 61, 1082
6283, 538, 568
5737, -587, 496
5426, -1134, 311
5429, -736, -79
5127, -603, -266
3953, -808, -398
2856, -747, -299
2269, -219, -259
1376, -318, -300
407, -850, -562
-643, -1647, -740
-1675, -1288, -794
-2896, -506, -927
-4327, 14, -1078
-5387, 468, -1305
-6116, 257, -1309
-6297, 636, -1470
-6753, -1093, -1656
-7632, -1014, -1594
-8368, 241, -1505
-8750, -457, -1268
-9196, -440, -959
-9723, 1364, -1034
-10424, 1234, -1494
-10401, 514, -2160
-10626, -1233, -2957
-10854, -1024, -3136
-10839, 1274, -3172
-10838, 2625, -2859
-11139, 3233, -2578
-11652, 4636, -2600
-11444, 4268, -2719
-10510, 2967, -2880
-9539, 2198, -2227
-9582, 1842, -381
-10297, 1998, 372
-10682, 2419, -83
-11449, 1546, -725
-11997, 1160, -1456
-11101, 2475, -1284
-10194, 2328, -389
-9899, 2398, -409
-10037, 1383, -1775
-9803, 356, -2822
-9377, 73, -2562
-8158, 597, -1536
-7419, -565, -1474
-6558, 448, -2157
-5223, 479, -1895
-3351, 456, -1284
-1586, -205, -983
172, -1333, -394
2266, -1829, 537
3541, -2545, 1727
4514, -3554, 2830
5478, -4292, 3381
6648, -4401, 3005
7847, -5479, 2506
9302, -7224, 2996
9829, -8856, 3881
9624, -9365, 4302
8671, -8457, 3431
7264, -6680, 1804
5832, -5090, 713
4252, -3242, 546
2769, -1858, 500
2273, -1888, 640
2479, -1562, 387
2425, 139, -459
2627, 1936, -835
2648, 3352, -535
2139, 4164, -209
1603, 6124, -325
1223, 8409, -511
1219, 10614, 136
931, 14392, 1051
358, 16707, 1274
162, 16586, 1209
84, 16482, 1723
-188, 16686, 2127
-323, 18392, 1675
-162, 18557, 1480
308, 18186, 1323
639, 16660, 1432
344, 15412, 1660
-159, 12712, 2169
-195, 12149, 2387
-799, 11804, 1883
-915, 10754, 1430
-314, 8657, 1588
-138, 6418, 1317
-118, 5180, 951
-766, 3662, 597
-514, 2526, 635
-80, -878, 848
486, -4463, 801
1052, -8342, -150
1773, -12018, -675
2457, -16061, -330
3257, -20188, -692
4253, -24749, -1339
4284, -27676, -1711
3570, -29068, -1157
2953, -29285, -390
2922, -27684, 431
3207, -27389, 876
2969, -27480, 1043
1956, -27458, 1378
2233, -25387, 2070
1980, -23546, 2474
1107, -22319, 1791
113, -22447, 278
-157, -22061, -698
371, -21633, -581
774, -20266, 225
1265, -19295, 1034
1112, -19216, 272
573, -17359, -518
300, -15033, -674
680, -10645, -565
709, -7956, -651
637, -6997, -643
158, -4918, -623
-702, -412, -893
-1042, 3997, -738
-1368, 8411, -198
-1941, 14287, 90
-2600, 19564, 526
-2867, 23402, 1275
-2914, 25552, 1598
-3243, 26168, 1922
-3103, 26491, 1986
-2242, 26703, 1495
-1993, 25406, 1076
-1797, 26117, 1160
-1580, 25896, 907
-1498, 24037, 383
-1089, 22452, 267
-1477, 21837, 725
-2905, 22716, 788
-3729, 27516, 572
-2980, 28634, 836
-1781, 22075, 1960
-1910, 17998, 2633
-2509, 19461, 1682
-2379, 18690, 792
-1940, 14471, 846
-1307, 10087, 1308
-1096, 6429, 1611
-1214, 3898, 848
-520, -163, -176
311, -4122, -760
1318, -6997, -938
2160, -10664, -1558
3042, -15288, -2368
3553, -21194, -3564
3714, -26300, -4103
3598, -27237, -3922
3587, -25434, -3271
2965, -24231, -2825
2675, -25342, -2716
2774, -27382, -3045
2925, -26448, -2875
3042, -24114, -1769
2572, -24546, -779
2703, -23673, -983
3127, -24433, -1338
2983, -25045, -1208
2605, -24961, -1346
3225, -26120, -997
3608, -28977, -534
3251, -27860, -407
2209, -22434, -644
1859, -18264, -767
1795, -17821, -777
1516, -16155, -489
839, -12978, -544
280, -9345, -439
-142, -4824, -10
-369, -232, 407
-1116, 5251, 236
-1712, 10460, 432
-2129, 16055, 1300
-2708, 21967, 1774
-2860, 27771, 2328
-2835, 30450, 2849
-2462, 31039, 3414
-2477, 30695, 3518
-2230, 30555, 2565
-1853, 30025, 1821
-2254, 29609, 1578
-2888, 29650, 1346
-2884, 29611, 1130
-3143, 29496, 1090
-3021, 26311, 768
-2545, 23150, 1100
-2876, 22686, 1046
-3028, 24374, 1057
-2835, 24181, 1474
-2332, 21328, 2366
